price,year,month,day
159,2024,9,25
159,2024,9,26
159,2024,10,02
159,2024,10,03
159,2024,11,08
159,2024,11,07
159,2024,11,06
159,2024,11,05
159,2024,10,31
159,2024,10,17
159,2024,10,24
159,2024,10,25
159,2024,10,29
159,2024,10,23
159,2024,10,16
159,2024,10,15
159,2024,11,12
159,2024,10,30
159,2024,11,13
159,2024,12,10
159,2024,11,15
159,2024,12,12
159,2024,12,11
159,2024,12,03
159,2024,12,06
159,2024,12,05
159,2024,12,04
159,2024,11,14
159,2024,11,28
159,2024,11,20
179,2024,11,29
179,2024,10,22
179,2024,12,13
198,2024,11,01
199,2024,11,19
199,2025,1,28
199,2025,1,29
199,2025,1,23
199,2025,1,17
199,2024,12,09
199,2025,1,08
199,2025,1,09
199,2025,1,07
199,2024,12,07
199,2025,1,14
199,2025,1,15
199,2025,1,16
199,2025,1,10
199,2024,10,28
199,2024,10,14
199,2024,11,04
199,2025,1,22
199,2025,1,24
199,2024,9,18
199,2025,2,04
199,2025,2,06
199,2025,2,05
199,2024,11,09
199,2024,11,11
218,2024,9,27
219,2024,9,30
219,2024,10,04
219,2025,1,21
219,2024,9,12
219,2024,11,24
219,2024,11,16
219,2024,11,23
219,2025,1,30
239,2025,4,15
239,2025,2,03
239,2025,4,23
239,2025,4,22
239,2025,4,24
239,2024,9,16
239,2025,5,28
239,2025,5,29
239,2024,9,23
239,2025,7,14
239,2025,4,19
239,2024,10,05
239,2025,5,14
239,2025,5,13
239,2025,6,05
239,2025,6,02
239,2024,9,28
239,2025,5,20
239,2025,5,15
239,2025,5,06
239,2025,4,30
239,2025,4,25
239,2025,4,26
239,2025,4,29
239,2025,5,02
239,2025,5,01
239,2024,9,13
239,2025,7,16
239,2025,2,07
239,2025,4,18
239,2025,1,13
239,2024,12,25
239,2025,7,09
239,2025,7,04
239,2025,7,10
249,2024,12,18
259,2025,7,11
259,2025,7,07
259,2024,9,06
259,2024,9,05
259,2024,9,04
259,2024,12,19
259,2025,1,25
259,2025,1,27
259,2025,1,18
259,2025,5,21
259,2025,5,16
259,2025,5,12
259,2025,5,03
259,2025,4,28
259,2025,5,07
259,2024,9,21
259,2025,5,27
259,2025,6,25
259,2025,6,16
259,2025,6,18
259,2025,7,18
259,2025,7,17
259,2025,6,04
259,2025,5,30
259,2025,5,19
259,2025,5,08
269,2024,12,14
269,2024,11,02
269,2024,10,26
269,2024,10,12
269,2024,11,18
277,2024,11,10
277,2024,10,13
277,2024,11,03
289,2025,5,09
289,2025,7,15
289,2025,6,09
289,2025,5,05
289,2025,6,03
289,2025,6,20
289,2025,6,12
289,2025,6,11
289,2024,9,14
289,2025,6,06
289,2025,5,24
289,2025,6,10
289,2025,1,06
289,2025,7,08
289,2024,9,11
289,2025,1,03
289,2025,6,17
289,2025,6,19
289,2025,5,26
299,2024,9,09
308,2024,12,02
308,2025,2,12
308,2024,11,25
309,2025,5,31
309,2025,6,07
309,2025,5,10
309,2025,7,12
309,2025,7,02
317,2025,1,26
317,2025,1,19
317,2025,5,25
317,2025,6,01
317,2025,2,02
319,2025,3,12
319,2025,4,02
319,2025,4,14
319,2025,4,16
319,2025,4,11
319,2025,3,19
319,2025,3,20
319,2025,4,01
319,2024,11,27
319,2024,11,22
319,2025,2,13
319,2025,1,02
319,2025,4,08
319,2025,4,21
319,2025,4,17
319,2025,4,10
319,2025,4,09
319,2025,4,12
319,2024,11,21
327,2024,12,08
339,2024,9,07
339,2025,6,13
339,2024,9,20
339,2025,2,27
347,2025,7,13
347,2025,5,11
347,2025,5,04
347,2024,10,27
349,2025,6,24
349,2024,12,29
349,2025,6,30
349,2024,12,28
349,2024,12,27
359,2024,12,26
367,2024,11,17
368,2024,10,18
368,2024,10,21
368,2024,10,08
368,2024,10,01
368,2024,9,24
368,2024,9,17
368,2025,1,31
369,2025,2,20
369,2024,12,30
369,2025,2,19
369,2025,3,05
379,2025,1,11
379,2025,5,22
379,2025,1,01
379,2025,2,01
389,2025,7,05
